Ethnicity,Citizen of Latvia,Non-citizen of Latvia,Alternative status of Latvia,Latvian stateless person,Latvian refugee,Temporary protection of Latvia,Other,Together,Year,Total_Population_Year,Percent_of_Year,Cluster_Category
IRISH,24,0,0,0,0,0,140,164,2025,1993984,0.0082,Integrated Minorities
YAKUTS,12,6,0,0,0,0,16,34,2025,1993984,0.0017,Integrated Minorities
JAPAN,4,0,0,0,0,0,37,41,2025,1993984,0.0021,Integrated Minorities
NEW ZEALANDER,2,0,0,0,0,0,17,19,2025,1993984,0.001,Integrated Minorities
YEZID,1,0,0,0,0,0,0,1,2025,1993984,0.0001,Integrated Minorities
KABARD,7,8,0,0,0,0,3,18,2025,1993984,0.0009,Integrated Minorities
CALMISH,9,6,0,0,0,0,19,34,2025,1993984,0.0017,Integrated Minorities
CANUCK,13,0,0,0,0,0,97,110,2025,1993984,0.0055,Integrated Minorities
KARAČAYAN,3,1,0,0,0,0,2,6,2025,1993984,0.0003,Integrated Minorities
CHARITY,1,1,0,0,0,0,0,2,2025,1993984,0.0001,Integrated Minorities
KARAKALPAKS,0,0,0,0,0,0,7,7,2025,1993984,0.0004,Integrated Minorities
KAREL,62,64,0,0,0,0,26,152,2025,1993984,0.0076,Integrated Minorities
CATALAN,0,0,0,0,0,0,1,1,2025,1993984,0.0001,Integrated Minorities
KAZAKHS,92,70,3,0,1,7,413,586,2025,1993984,0.0294,Integrated Minorities
KYRGYZ,7,4,0,1,2,0,188,202,2025,1993984,0.0101,Integrated Minorities
COLOMBIAN,5,0,0,0,0,0,47,52,2025,1993984,0.0026,Integrated Minorities
COMET,59,85,0,0,0,1,33,178,2025,1993984,0.0089,Integrated Minorities
KOMIET PERMIETIS,15,20,0,0,0,0,8,43,2025,1993984,0.0022,Integrated Minorities
KOREAN,81,40,0,1,0,3,140,265,2025,1993984,0.0133,Integrated Minorities
COSTA RICAN,0,0,0,0,0,0,6,6,2025,1993984,0.0003,Integrated Minorities
COSTA RICAN,0,0,0,0,0,0,6,6,2025,1993984,0.0003,Integrated Minorities
COSTA RICAN,1,0,0,0,0,0,0,1,2025,1993984,0.0001,Integrated Minorities
COSTA RICAN,1,0,0,0,0,0,0,1,2025,1993984,0.0001,Integrated Minorities
RUSSIAN,321251,112097,15,90,93,454,34644,468644,2025,1993984,23.5029,Large Historical Minority
CRIMEAN TATAR,4,0,0,0,0,13,2,19,2025,1993984,0.001,Integrated Minorities
KRIMCHAK,1,0,0,0,0,0,0,1,2025,1993984,0.0001,Integrated Minorities
CUBAN,13,1,0,0,0,1,30,45,2025,1993984,0.0023,Integrated Minorities
COMIC,11,12,0,0,0,0,8,31,2025,1993984,0.0016,Integrated Minorities
KURDISH,3,0,70,0,13,0,5,91,2025,1993984,0.0046,Integrated Minorities
CHINESE,11,1,0,0,0,5,743,760,2025,1993984,0.0381,Integrated Minorities
LAX,21,17,0,0,0,0,5,43,2025,1993984,0.0022,Integrated Minorities
LATVIAN,1214055,378,0,2,0,27,1114,1215576,2025,1993984,60.9622,Latvians
LAZS,3,0,0,0,0,0,0,3,2025,1993984,0.0002,Integrated Minorities
LEZGIN,84,100,0,1,0,0,55,240,2025,1993984,0.012,Integrated Minorities
LEBANESE,32,4,0,0,5,0,51,92,2025,1993984,0.0046,Integrated Minorities
LITHUANIAN,15188,3959,0,2,0,2,3260,22411,2025,1993984,1.1239,Integrated Minorities
LIVONIAN,137,0,0,0,0,0,0,137,2025,1993984,0.0069,Integrated Minorities
LIVONIAN (LIV),32,0,0,0,0,0,1,33,2025,1993984,0.0017,Integrated Minorities
LIBYAN ARAB,0,0,0,0,0,0,2,2,2025,1993984,0.0001,Integrated Minorities
LUXEMBOURGISH,0,0,0,0,0,0,7,7,2025,1993984,0.0004,Integrated Minorities
MACEDONIAN,4,0,0,0,0,0,13,17,2025,1993984,0.0009,Integrated Minorities
MALAYSIAN,1,0,0,0,0,0,10,11,2025,1993984,0.0006,Integrated Minorities
MALTESE,3,0,0,0,0,0,12,15,2025,1993984,0.0008,Integrated Minorities
MARIETIS,63,101,0,0,0,0,42,206,2025,1993984,0.0103,Integrated Minorities
MOROCCAN,0,0,0,0,0,1,43,44,2025,1993984,0.0022,Integrated Minorities
MEXICAN,8,0,0,0,0,0,53,61,2025,1993984,0.0031,Integrated Minorities
MONTENEGRIN,3,1,0,0,0,0,5,9,2025,1993984,0.0005,Integrated Minorities
MOLDAVIA,647,618,0,1,0,25,448,1739,2025,1993984,0.0872,Integrated Minorities
MONGOLIAN,2,0,0,0,0,0,13,15,2025,1993984,0.0008,Integrated Minorities
MORTAR SITE,128,165,0,0,0,1,89,383,2025,1993984,0.0192,Integrated Minorities
NAGAIBAK,2,0,0,0,0,0,1,3,2025,1993984,0.0002,Integrated Minorities
UNSELECTED,51927,563,32,7,5,130,1154,53818,2025,1993984,2.699,Integrated Minorities
NEPALIAN,2,0,0,0,0,0,74,76,2025,1993984,0.0038,Integrated Minorities
UNKNOWN,1572,44,15,2,13,1446,7001,10093,2025,1993984,0.5062,Integrated Minorities
NIGERIAN,2,0,0,0,0,0,59,61,2025,1993984,0.0031,Integrated Minorities
NOGAAJ,0,3,0,0,0,0,0,3,2025,1993984,0.0002,Integrated Minorities
NORWEGIAN,17,0,0,0,0,0,306,323,2025,1993984,0.0162,Integrated Minorities
NETZ,1,0,0,0,0,0,0,1,2025,1993984,0.0001,Integrated Minorities
OSETINE,107,91,0,0,2,0,37,237,2025,1993984,0.0119,Integrated Minorities
PALESTINIAN ARAB,0,0,1,0,0,0,1,2,2025,1993984,0.0001,Integrated Minorities
PANAMANIAN,0,0,0,0,0,0,3,3,2025,1993984,0.0002,Integrated Minorities
PUNJABI,1,0,0,0,0,1,1,3,2025,1993984,0.0002,Integrated Minorities
PERSIAN,0,0,0,0,0,0,1,1,2025,1993984,0.0001,Integrated Minorities
PERUVIAN,0,0,0,0,0,0,35,35,2025,1993984,0.0018,Integrated Minorities
POLIS,30054,6136,0,0,2,12,1764,37968,2025,1993984,1.9041,Integrated Minorities
PORTUGAL,14,0,0,0,0,0,195,209,2025,1993984,0.0105,Integrated Minorities
PUNJAB,0,0,0,0,6,0,1,7,2025,1993984,0.0004,Integrated Minorities
RHETORICAL NOVEL,0,0,0,0,0,0,1,1,2025,1993984,0.0001,Integrated Minorities
ROMANIAN,218,201,0,0,0,0,371,790,2025,1993984,0.0396,Integrated Minorities
BALL,0,1,0,0,0,0,1,2,2025,1993984,0.0001,Integrated Minorities
SALVADORIANS,0,0,0,0,0,0,3,3,2025,1993984,0.0002,Integrated Minorities
SELKUP,0,1,0,0,0,0,0,1,2025,1993984,0.0001,Integrated Minorities
SERBIAN,16,2,0,0,0,0,31,49,2025,1993984,0.0025,Integrated Minorities
SINDS,0,0,0,0,0,0,1,1,2025,1993984,0.0001,Integrated Minorities
SINGULAR,1,0,1,0,1,0,73,76,2025,1993984,0.0038,Integrated Minorities
SYRIAN,6,1,176,0,5,0,43,231,2025,1993984,0.0116,Integrated Minorities
SCOT,9,0,0,0,0,0,25,34,2025,1993984,0.0017,Integrated Minorities
SLOVAK,25,8,0,0,0,0,112,145,2025,1993984,0.0073,Integrated Minorities
SLOVENIAN,2,0,0,0,0,0,31,33,2025,1993984,0.0017,Integrated Minorities
FINN,185,53,0,0,0,0,615,853,2025,1993984,0.0428,Integrated Minorities
SPANIARD,26,5,0,0,0,0,425,456,2025,1993984,0.0229,Integrated Minorities
SHORE,0,2,0,0,0,0,1,3,2025,1993984,0.0002,Integrated Minorities
SWISS,13,1,0,0,0,0,92,106,2025,1993984,0.0053,Integrated Minorities
TABASARANS,4,1,0,0,0,0,0,5,2025,1993984,0.0003,Integrated Minorities
TAJIKISTAN,53,23,2,0,39,4,686,807,2025,1993984,0.0405,Integrated Minorities
TALISH,0,0,0,0,1,0,0,1,2025,1993984,0.0001,Integrated Minorities
TAMIL,0,0,0,0,0,0,5,5,2025,1993984,0.0003,Integrated Minorities
TATAR,801,752,0,0,1,8,458,2020,2025,1993984,0.1013,Integrated Minorities
TATS,9,4,0,0,0,0,6,19,2025,1993984,0.001,Integrated Minorities
TELEUT,0,1,0,0,0,0,0,1,2025,1993984,0.0001,Integrated Minorities
TUAREGS,0,0,0,0,0,0,1,1,2025,1993984,0.0001,Integrated Minorities
TUNISIAN,3,0,0,0,0,0,66,69,2025,1993984,0.0035,Integrated Minorities
TURKMONTH,18,9,0,0,0,2,87,116,2025,1993984,0.0058,Integrated Minorities
TURK,56,1,0,0,25,4,875,961,2025,1993984,0.0482,Integrated Minorities
APPROACHING,1,0,0,0,0,0,1,2,2025,1993984,0.0001,Integrated Minorities
UDEHS,0,0,0,0,0,1,0,1,2025,1993984,0.0001,Integrated Minorities
UDMURT,42,108,0,1,0,0,27,178,2025,1993984,0.0089,Integrated Minorities
UDS,9,10,0,0,0,0,6,25,2025,1993984,0.0013,Integrated Minorities
UYGHUR,5,2,0,0,5,1,28,41,2025,1993984,0.0021,Integrated Minorities
UKRAINIAN,17545,17033,4,15,0,26726,8300,69623,2025,1993984,3.4917,Protected Populations
HUNGARY,131,66,0,0,0,1,115,313,2025,1993984,0.0157,Integrated Minorities
URUGUAYAN,0,0,0,0,0,0,4,4,2025,1993984,0.0002,Integrated Minorities
UZBEK,103,89,6,1,5,8,3866,4078,2025,1993984,0.2045,Integrated Minorities
WALLOON,1,0,0,0,0,0,5,6,2025,1993984,0.0003,Integrated Minorities
GERMAN,2056,515,0,0,1,2,2315,4889,2025,1993984,0.2452,Integrated Minorities
WELSHMAN,1,0,0,0,0,0,6,7,2025,1993984,0.0004,Integrated Minorities
VENEER,5,0,1,0,0,0,24,30,2025,1993984,0.0015,Integrated Minorities
VEPSS,1,2,0,0,0,0,1,4,2025,1993984,0.0002,Integrated Minorities
VIETNAMESE,8,0,0,0,0,1,743,752,2025,1993984,0.0377,Integrated Minorities
SWEDE,40,3,0,0,0,0,683,726,2025,1993984,0.0364,Integrated Minorities
